OKC IND 109.3 17.6 41.9 5.9 10.7 123 91 0.829
BOS DAL 101.6 24.2 41.2 5.4 6.2 107 84 0.780
DEN MIA 104.6 25.4 46.4 5.0 6.2 109 94 0.646
GSW(22) BOS 104.8 23.5 41.7 4.5 10.3 108 100 0.646
MIL PHO 111.7 23.0 46.3 3.5 8.0 123 105 0.639
LAL MIA 110.0 25.0 45.0 4.3 6.8 124 102 0.732
TOR GSW 111.5 23.0 41.0 4.8 8.2 123 104 0.707
GSW(18) CLE 116.0 27.8 40.0 8.0 6.5 124 108 0.707
GSW(17) CLE 121.6 29.4 45.8 4.4 7.6 132 113 0.817
CLE GSW 100.4 18.0 43.9 5.4 9.3 120 77 0.695


// Cite: https://www.basketball-reference.com/
